quantity	expected	tolerance	source
gtex_samples	289	0	sample_donor_manifest.tsv
gtex_donors	164	0	sample_donor_manifest.tsv
gtex_donors_with_repeats	91	0	sample_donor_manifest.tsv
tcga_participants	662	0	sample_donor_manifest.tsv
protein_coding_genes_tested	16082	0	deseq2_results_protein_coding.tsv
n_DE_sample_level	14815	50	de_summary.tsv
n_DE_donor_level	14482	50	de_summary.tsv
n_DE_one_per_donor	14456	50	de_summary.tsv
NES_NEURONAL_MARKERS_BRETIGEA_300	-3.60	0.15	fgsea_all_analyses.tsv
NES_NEURONAL_MARKERS_BRETIGEA_500	-3.67	0.15	fgsea_all_analyses.tsv
NES_NEURONAL_MARKERS_BRETIGEA_200	-3.40	0.15	fgsea_all_analyses.tsv
NES_NEURONAL_MARKERS_BRETIGEA_100	-3.05	0.15	fgsea_all_analyses.tsv
NES_NEURONAL_MARKERS_BRETIGEA_50	-2.73	0.15	fgsea_all_analyses.tsv
NES_KEGG_OXIDATIVE_PHOSPHORYLATION	-2.38	0.15	fgsea_all_analyses.tsv
NES_KEGG_GLUTAMATERGIC_SYNAPSE	-2.46	0.15	fgsea_all_analyses.tsv
NES_KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	-1.44	0.15	fgsea_all_analyses.tsv
NES_KEGG_CITRATE_CYCLE_TCA_CYCLE	-1.43	0.15	fgsea_all_analyses.tsv
NES_KEGG_ALANINE_ASPARTATE_GLUTAMATE_METABOLISM	-1.42	0.15	fgsea_all_analyses.tsv
NES_REACTOME_CHOLINE_METABOLISM	0.78	0.15	fgsea_all_analyses.tsv
NAT8L_log2FC_donor_level	-1.43	0.05	single_genes_all_analyses.tsv
sets_exceeding_all_random_sets	7	0	A1_negative_control_gsea.tsv
